"DV","0000055","20240530|090334","20240527_1522504_075243_094086","R04_4_FRA_French Open - Paris","Kolodziejova/Siskova","Alexandrova/Pavlyuchenkova","|K|0.298148|EK|G||OL1|3.52464|EOL1|OL2|1.45717|EOL2|OH1|1|EOH1|OH2|143|EOH2|EG|NA||NAOL1|3.7968|ENAOL1|NAOL2|1.4586|ENAOL2|NAVE1|-8.5|ENAVE1|NAVE2|-3.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open-doubles/kolodziejova-miriam-siskova-anna-alexandrova-ekaterina-pavlyuchenkova-anastasia-6a01xS8k/","","2.78","1.44","","","2.9","1.37","2.9","1.44","","","","","","",""
"CSV","0000058","20240530|090423","20240527_1551009_078152_070328","R09_1_AUT_W35 Klagenfurt","Sonobe","Costoulas","|K|0.385443|EK|G||OL1|2.665|EOL1|OL2|1.73595|EOL2|OH1|1|EOH1|OH2|2.282|EOH2|EG|NA|NOT|ENA||AH-5.5|13.166|1285.76|1.11|108.433|AH-5|13.166|1285.76|1.212|118.371|AH-4|6.598|644.336|1.259|122.968|AH-3.5|5.482|535.393|1.259|122.968|AH-3|5.482|535.393|1.26|123.066|AH-2.5|5.463|533.535|1.26|123.066|AH-2|5.463|533.535|1.338|130.711|AH-1.5|4.358|425.616|1.338|130.711||AH1.5|3.41|326.911|1.503|144.07|AH2|3.41|326.911|1.524|146.07|AH2.5|3.307|317.062|1.524|146.07|AH3|3.307|317.062|1.673|160.361|AH3.5|2.771|265.671|1.673|160.361|AH4|2.771|265.671|2.027|194.362|AH4.5|2.148|205.975|2.027|194.362|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99362|5.6|1.5|5.6|EK-1.5||K21|7.55805|5.6|6.00773|5.6|EK21||K1.5|1.64776|5.6|3.16651|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/sonobe-wakana-costoulas-sofia-l0PmUDEa/#ah;2;3.50;2","3.5","1.87","1.9","","","","","1.87","1.9","","","","","","",""
"CSV","0000058","20240530|090425","20240527_1551009_078152_070328","R09_1_AUT_W35 Klagenfurt","Sonobe","Costoulas","|K|0.385443|EK|G||OL1|2.665|EOL1|OL2|1.73595|EOL2|OH1|1|EOH1|OH2|2.282|EOH2|EG|NA|NOT|ENA||AH-5.5|13.166|1285.76|1.11|108.433|AH-5|13.166|1285.76|1.212|118.371|AH-4|6.598|644.336|1.259|122.968|AH-3.5|5.482|535.393|1.259|122.968|AH-3|5.482|535.393|1.26|123.066|AH-2.5|5.463|533.535|1.26|123.066|AH-2|5.463|533.535|1.338|130.711|AH-1.5|4.358|425.616|1.338|130.711||AH1.5|3.41|326.911|1.503|144.07|AH2|3.41|326.911|1.524|146.07|AH2.5|3.307|317.062|1.524|146.07|AH3|3.307|317.062|1.673|160.361|AH3.5|2.771|265.671|1.673|160.361|AH4|2.771|265.671|2.027|194.362|AH4.5|2.148|205.975|2.027|194.362|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99362|5.6|1.5|5.6|EK-1.5||K21|7.55805|5.6|6.00773|5.6|EK21||K1.5|1.64776|5.6|3.16651|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/sonobe-wakana-costoulas-sofia-l0PmUDEa/#ah;2;2.50;2","2.5","2.09","1.72","","","","","2.09","1.72","","","","","","",""
"CSV","0000058","20240530|090430","20240527_1551009_078152_070328","R09_1_AUT_W35 Klagenfurt","Sonobe","Costoulas","|K|0.385443|EK|G||OL1|2.665|EOL1|OL2|1.73595|EOL2|OH1|1|EOH1|OH2|2.282|EOH2|EG|NA|NOT|ENA||AH-5.5|13.166|1285.76|1.11|108.433|AH-5|13.166|1285.76|1.212|118.371|AH-4|6.598|644.336|1.259|122.968|AH-3.5|5.482|535.393|1.259|122.968|AH-3|5.482|535.393|1.26|123.066|AH-2.5|5.463|533.535|1.26|123.066|AH-2|5.463|533.535|1.338|130.711|AH-1.5|4.358|425.616|1.338|130.711||AH1.5|3.41|326.911|1.503|144.07|AH2|3.41|326.911|1.524|146.07|AH2.5|3.307|317.062|1.524|146.07|AH3|3.307|317.062|1.673|160.361|AH3.5|2.771|265.671|1.673|160.361|AH4|2.771|265.671|2.027|194.362|AH4.5|2.148|205.975|2.027|194.362|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99362|5.6|1.5|5.6|EK-1.5||K21|7.55805|5.6|6.00773|5.6|EK21||K1.5|1.64776|5.6|3.16651|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/sonobe-wakana-costoulas-sofia-l0PmUDEa/#ah;2;1.50;1","1.5","1.68","2.15","","","","","1.68","2.15","","","","","","",""
"CSV","0000058","20240530|090428","20240527_1551009_078152_070328","R09_1_AUT_W35 Klagenfurt","Sonobe","Costoulas","|K|0.385443|EK|G||OL1|2.665|EOL1|OL2|1.73595|EOL2|OH1|1|EOH1|OH2|2.282|EOH2|EG|NA|NOT|ENA||AH-5.5|13.166|1285.76|1.11|108.433|AH-5|13.166|1285.76|1.212|118.371|AH-4|6.598|644.336|1.259|122.968|AH-3.5|5.482|535.393|1.259|122.968|AH-3|5.482|535.393|1.26|123.066|AH-2.5|5.463|533.535|1.26|123.066|AH-2|5.463|533.535|1.338|130.711|AH-1.5|4.358|425.616|1.338|130.711||AH1.5|3.41|326.911|1.503|144.07|AH2|3.41|326.911|1.524|146.07|AH2.5|3.307|317.062|1.524|146.07|AH3|3.307|317.062|1.673|160.361|AH3.5|2.771|265.671|1.673|160.361|AH4|2.771|265.671|2.027|194.362|AH4.5|2.148|205.975|2.027|194.362|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99362|5.6|1.5|5.6|EK-1.5||K21|7.55805|5.6|6.00773|5.6|EK21||K1.5|1.64776|5.6|3.16651|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/sonobe-wakana-costoulas-sofia-l0PmUDEa/#ah;2;-1.50;1","-1.5","4.0","1.23","","","","","4.0","1.23","","","","","","",""
"CSV","0000058","20240530|090418","20240527_1551009_078152_070328","R09_1_AUT_W35 Klagenfurt","Sonobe","Costoulas","|K|0.385443|EK|G||OL1|2.665|EOL1|OL2|1.73595|EOL2|OH1|1|EOH1|OH2|2.282|EOH2|EG|NA|NOT|ENA||AH-5.5|13.166|1285.76|1.11|108.433|AH-5|13.166|1285.76|1.212|118.371|AH-4|6.598|644.336|1.259|122.968|AH-3.5|5.482|535.393|1.259|122.968|AH-3|5.482|535.393|1.26|123.066|AH-2.5|5.463|533.535|1.26|123.066|AH-2|5.463|533.535|1.338|130.711|AH-1.5|4.358|425.616|1.338|130.711||AH1.5|3.41|326.911|1.503|144.07|AH2|3.41|326.911|1.524|146.07|AH2.5|3.307|317.062|1.524|146.07|AH3|3.307|317.062|1.673|160.361|AH3.5|2.771|265.671|1.673|160.361|AH4|2.771|265.671|2.027|194.362|AH4.5|2.148|205.975|2.027|194.362|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.99362|5.6|1.5|5.6|EK-1.5||K21|7.55805|5.6|6.00773|5.6|EK21||K1.5|1.64776|5.6|3.16651|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/austria/itf-w35-klagenfurt-women/sonobe-wakana-costoulas-sofia-l0PmUDEa/","","2.49","1.52","","","2.4","1.5","2.49","1.52","","","","","","",""
"CSV","0000059","20240530|090441","20240527_1550906_023782_046348","R06_1_DOM_W35 Santo Domingo","Failla","Bolton","|K|0.509109|EK|G||OL1|2.09805|EOL1|OL2|2.091|EOL2|OH1|2.758|EOH1|OH2|2.7132|EOH2|EG|NA|NOT|ENA||AH-5.5|4.025|393.048|1.373|134.124|AH-5|4.025|393.048|1.558|152.197|AH-4|2.986|291.582|1.761|172|AH-3.5|2.446|238.888|1.761|172|AH-3|2.446|238.888|1.837|179.397|AH-2.5|2.314|225.95|1.837|179.397|AH-2|2.314|225.95|1.901|185.628|AH-1.5|2.22|216.784|1.901|185.628||AH1.5|1.992|191.033|2.189|209.85|AH2|1.992|191.033|2.309|221.393|AH2.5|1.902|182.377|2.309|221.393|AH3|1.902|182.377|2.403|230.4|AH3.5|1.843|176.687|2.403|230.4|AH4|1.843|176.687|2.979|285.586|AH4.5|1.605|153.883|2.979|285.586|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11191|5.6|1.66538|5.6|EK-1.5||K21|6.74954|5.6|7.4443|5.6|EK21||K1.5|1.5|5.6|3.84984|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/failla-jessica-bolton-elysia-Kp99avgt/#ah;2;-1.50;2","-1.5","1.83","1.89","","","","","1.83","1.89","","","","","","",""
"CSV","0000059","20240530|090443","20240527_1550906_023782_046348","R06_1_DOM_W35 Santo Domingo","Failla","Bolton","|K|0.509109|EK|G||OL1|2.09805|EOL1|OL2|2.091|EOL2|OH1|2.758|EOH1|OH2|2.7132|EOH2|EG|NA|NOT|ENA||AH-5.5|4.025|393.048|1.373|134.124|AH-5|4.025|393.048|1.558|152.197|AH-4|2.986|291.582|1.761|172|AH-3.5|2.446|238.888|1.761|172|AH-3|2.446|238.888|1.837|179.397|AH-2.5|2.314|225.95|1.837|179.397|AH-2|2.314|225.95|1.901|185.628|AH-1.5|2.22|216.784|1.901|185.628||AH1.5|1.992|191.033|2.189|209.85|AH2|1.992|191.033|2.309|221.393|AH2.5|1.902|182.377|2.309|221.393|AH3|1.902|182.377|2.403|230.4|AH3.5|1.843|176.687|2.403|230.4|AH4|1.843|176.687|2.979|285.586|AH4.5|1.605|153.883|2.979|285.586|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11191|5.6|1.66538|5.6|EK-1.5||K21|6.74954|5.6|7.4443|5.6|EK21||K1.5|1.5|5.6|3.84984|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/failla-jessica-bolton-elysia-Kp99avgt/#ah;2;-2.50;2","-2.5","1.98","1.76","","","","","1.98","1.82","","","","","","",""
"CSV","0000059","20240530|090447","20240527_1550906_023782_046348","R06_1_DOM_W35 Santo Domingo","Failla","Bolton","|K|0.509109|EK|G||OL1|2.09805|EOL1|OL2|2.091|EOL2|OH1|2.758|EOH1|OH2|2.7132|EOH2|EG|NA|NOT|ENA||AH-5.5|4.025|393.048|1.373|134.124|AH-5|4.025|393.048|1.558|152.197|AH-4|2.986|291.582|1.761|172|AH-3.5|2.446|238.888|1.761|172|AH-3|2.446|238.888|1.837|179.397|AH-2.5|2.314|225.95|1.837|179.397|AH-2|2.314|225.95|1.901|185.628|AH-1.5|2.22|216.784|1.901|185.628||AH1.5|1.992|191.033|2.189|209.85|AH2|1.992|191.033|2.309|221.393|AH2.5|1.902|182.377|2.309|221.393|AH3|1.902|182.377|2.403|230.4|AH3.5|1.843|176.687|2.403|230.4|AH4|1.843|176.687|2.979|285.586|AH4.5|1.605|153.883|2.979|285.586|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11191|5.6|1.66538|5.6|EK-1.5||K21|6.74954|5.6|7.4443|5.6|EK21||K1.5|1.5|5.6|3.84984|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/failla-jessica-bolton-elysia-Kp99avgt/#ah;2;1.50;1","1.5","1.3","3.26","","","","","1.3","3.26","","","","","","",""
"CSV","0000059","20240530|090445","20240527_1550906_023782_046348","R06_1_DOM_W35 Santo Domingo","Failla","Bolton","|K|0.509109|EK|G||OL1|2.09805|EOL1|OL2|2.091|EOL2|OH1|2.758|EOH1|OH2|2.7132|EOH2|EG|NA|NOT|ENA||AH-5.5|4.025|393.048|1.373|134.124|AH-5|4.025|393.048|1.558|152.197|AH-4|2.986|291.582|1.761|172|AH-3.5|2.446|238.888|1.761|172|AH-3|2.446|238.888|1.837|179.397|AH-2.5|2.314|225.95|1.837|179.397|AH-2|2.314|225.95|1.901|185.628|AH-1.5|2.22|216.784|1.901|185.628||AH1.5|1.992|191.033|2.189|209.85|AH2|1.992|191.033|2.309|221.393|AH2.5|1.902|182.377|2.309|221.393|AH3|1.902|182.377|2.403|230.4|AH3.5|1.843|176.687|2.403|230.4|AH4|1.843|176.687|2.979|285.586|AH4.5|1.605|153.883|2.979|285.586|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11191|5.6|1.66538|5.6|EK-1.5||K21|6.74954|5.6|7.4443|5.6|EK21||K1.5|1.5|5.6|3.84984|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/failla-jessica-bolton-elysia-Kp99avgt/#ah;2;-1.50;1","-1.5","2.56","1.46","","","","","2.56","1.46","","","","","","",""
"CSV","0000059","20240530|090434","20240527_1550906_023782_046348","R06_1_DOM_W35 Santo Domingo","Failla","Bolton","|K|0.509109|EK|G||OL1|2.09805|EOL1|OL2|2.091|EOL2|OH1|2.758|EOH1|OH2|2.7132|EOH2|EG|NA|NOT|ENA||AH-5.5|4.025|393.048|1.373|134.124|AH-5|4.025|393.048|1.558|152.197|AH-4|2.986|291.582|1.761|172|AH-3.5|2.446|238.888|1.761|172|AH-3|2.446|238.888|1.837|179.397|AH-2.5|2.314|225.95|1.837|179.397|AH-2|2.314|225.95|1.901|185.628|AH-1.5|2.22|216.784|1.901|185.628||AH1.5|1.992|191.033|2.189|209.85|AH2|1.992|191.033|2.309|221.393|AH2.5|1.902|182.377|2.309|221.393|AH3|1.902|182.377|2.403|230.4|AH3.5|1.843|176.687|2.403|230.4|AH4|1.843|176.687|2.979|285.586|AH4.5|1.605|153.883|2.979|285.586|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11191|5.6|1.66538|5.6|EK-1.5||K21|6.74954|5.6|7.4443|5.6|EK21||K1.5|1.5|5.6|3.84984|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/failla-jessica-bolton-elysia-Kp99avgt/","","1.69","2.07","","","","","1.69","2.1","","","","","","",""
"CSV","0000060","20240530|090502","20240527_1550906_033139_037189","R06_1_DOM_W35 Santo Domingo","Kozarov","Portillo Ramirez","|K|0.58355|EK|G||OL1|1.8318|EOL1|OL2|2.47025|EOL2|OH1|2.408|EOH1|OH2|3.2053|EOH2|EG|NA|NOT|ENA||AH-5.5|3.188|311.342|1.509|147.317|AH-5|3.188|311.342|1.738|169.684|AH-4|2.493|243.505|2.02|197.284|AH-3.5|2.077|202.792|2.02|197.284|AH-3|2.077|202.792|2.066|201.756|AH-2.5|2.03|198.274|2.066|201.756|AH-2|2.03|198.274|2.209|215.758|AH-1.5|1.909|186.387|2.209|215.758||AH1.5|1.717|164.652|2.656|254.673|AH2|1.717|164.652|2.902|278.281|AH2.5|1.628|156.091|2.902|278.281|AH3|1.628|156.091|3.139|300.955|AH3.5|1.562|149.762|3.139|300.955|AH4|1.562|149.762|3.813|365.611|AH4.5|1.436|137.649|3.813|365.611|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11999|5.6|1.66271|5.6|EK-1.5||K21|6.48813|5.6|7.32068|5.6|EK21||K1.5|1.5|5.6|3.95187|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/kozarov-katarina-portillo-ramirez-maria-jose-86uiscwC/#ah;2;0.50;2","0.5","1.8","1.93","","","","","1.8","1.93","","","","","","",""
"CSV","0000060","20240530|090500","20240527_1550906_033139_037189","R06_1_DOM_W35 Santo Domingo","Kozarov","Portillo Ramirez","|K|0.58355|EK|G||OL1|1.8318|EOL1|OL2|2.47025|EOL2|OH1|2.408|EOH1|OH2|3.2053|EOH2|EG|NA|NOT|ENA||AH-5.5|3.188|311.342|1.509|147.317|AH-5|3.188|311.342|1.738|169.684|AH-4|2.493|243.505|2.02|197.284|AH-3.5|2.077|202.792|2.02|197.284|AH-3|2.077|202.792|2.066|201.756|AH-2.5|2.03|198.274|2.066|201.756|AH-2|2.03|198.274|2.209|215.758|AH-1.5|1.909|186.387|2.209|215.758||AH1.5|1.717|164.652|2.656|254.673|AH2|1.717|164.652|2.902|278.281|AH2.5|1.628|156.091|2.902|278.281|AH3|1.628|156.091|3.139|300.955|AH3.5|1.562|149.762|3.139|300.955|AH4|1.562|149.762|3.813|365.611|AH4.5|1.436|137.649|3.813|365.611|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11999|5.6|1.66271|5.6|EK-1.5||K21|6.48813|5.6|7.32068|5.6|EK21||K1.5|1.5|5.6|3.95187|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/kozarov-katarina-portillo-ramirez-maria-jose-86uiscwC/#ah;2;-0.50;2","-0.5","1.9","1.83","","","","","1.9","1.83","","","","","","",""
"CSV","0000060","20240530|090506","20240527_1550906_033139_037189","R06_1_DOM_W35 Santo Domingo","Kozarov","Portillo Ramirez","|K|0.58355|EK|G||OL1|1.8318|EOL1|OL2|2.47025|EOL2|OH1|2.408|EOH1|OH2|3.2053|EOH2|EG|NA|NOT|ENA||AH-5.5|3.188|311.342|1.509|147.317|AH-5|3.188|311.342|1.738|169.684|AH-4|2.493|243.505|2.02|197.284|AH-3.5|2.077|202.792|2.02|197.284|AH-3|2.077|202.792|2.066|201.756|AH-2.5|2.03|198.274|2.066|201.756|AH-2|2.03|198.274|2.209|215.758|AH-1.5|1.909|186.387|2.209|215.758||AH1.5|1.717|164.652|2.656|254.673|AH2|1.717|164.652|2.902|278.281|AH2.5|1.628|156.091|2.902|278.281|AH3|1.628|156.091|3.139|300.955|AH3.5|1.562|149.762|3.139|300.955|AH4|1.562|149.762|3.813|365.611|AH4.5|1.436|137.649|3.813|365.611|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11999|5.6|1.66271|5.6|EK-1.5||K21|6.48813|5.6|7.32068|5.6|EK21||K1.5|1.5|5.6|3.95187|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/kozarov-katarina-portillo-ramirez-maria-jose-86uiscwC/#ah;2;1.50;1","1.5","1.38","2.87","","","","","1.38","2.87","","","","","","",""
"CSV","0000060","20240530|090504","20240527_1550906_033139_037189","R06_1_DOM_W35 Santo Domingo","Kozarov","Portillo Ramirez","|K|0.58355|EK|G||OL1|1.8318|EOL1|OL2|2.47025|EOL2|OH1|2.408|EOH1|OH2|3.2053|EOH2|EG|NA|NOT|ENA||AH-5.5|3.188|311.342|1.509|147.317|AH-5|3.188|311.342|1.738|169.684|AH-4|2.493|243.505|2.02|197.284|AH-3.5|2.077|202.792|2.02|197.284|AH-3|2.077|202.792|2.066|201.756|AH-2.5|2.03|198.274|2.066|201.756|AH-2|2.03|198.274|2.209|215.758|AH-1.5|1.909|186.387|2.209|215.758||AH1.5|1.717|164.652|2.656|254.673|AH2|1.717|164.652|2.902|278.281|AH2.5|1.628|156.091|2.902|278.281|AH3|1.628|156.091|3.139|300.955|AH3.5|1.562|149.762|3.139|300.955|AH4|1.562|149.762|3.813|365.611|AH4.5|1.436|137.649|3.813|365.611|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11999|5.6|1.66271|5.6|EK-1.5||K21|6.48813|5.6|7.32068|5.6|EK21||K1.5|1.5|5.6|3.95187|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/kozarov-katarina-portillo-ramirez-maria-jose-86uiscwC/#ah;2;-1.50;1","-1.5","2.84","1.38","","","","","2.85","1.38","","","","","","",""
"CSV","0000060","20240530|090452","20240527_1550906_033139_037189","R06_1_DOM_W35 Santo Domingo","Kozarov","Portillo Ramirez","|K|0.58355|EK|G||OL1|1.8318|EOL1|OL2|2.47025|EOL2|OH1|2.408|EOH1|OH2|3.2053|EOH2|EG|NA|NOT|ENA||AH-5.5|3.188|311.342|1.509|147.317|AH-5|3.188|311.342|1.738|169.684|AH-4|2.493|243.505|2.02|197.284|AH-3.5|2.077|202.792|2.02|197.284|AH-3|2.077|202.792|2.066|201.756|AH-2.5|2.03|198.274|2.066|201.756|AH-2|2.03|198.274|2.209|215.758|AH-1.5|1.909|186.387|2.209|215.758||AH1.5|1.717|164.652|2.656|254.673|AH2|1.717|164.652|2.902|278.281|AH2.5|1.628|156.091|2.902|278.281|AH3|1.628|156.091|3.139|300.955|AH3.5|1.562|149.762|3.139|300.955|AH4|1.562|149.762|3.813|365.611|AH4.5|1.436|137.649|3.813|365.611|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.11999|5.6|1.66271|5.6|EK-1.5||K21|6.48813|5.6|7.32068|5.6|EK21||K1.5|1.5|5.6|3.95187|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/dominican-republic/itf-w35-santo-domingo-4-women/kozarov-katarina-portillo-ramirez-maria-jose-86uiscwC/","","1.84","1.88","","","","","1.84","1.88","","","","","","",""
