"CDM","0000031","20240709|125027","20240708_1984804_111548_112604","R04_1_ITA_Trieste Challenger","Bortolotti/Romios","Carou/Roveri Sidney","|K|0.677614|EK|G||OL1|1.49021|EOL1|OL2|3.16287|EOL2|OH1|2.22|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.63244|ENAOL1|NAOL2|3.36813|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/italy/trieste-challenger-men-doubles/bortolotti-marco-romios-matthew-christopher-carou-ignacio-roveri-sidney-gabriel-2odCF4hK/","","","","","","","","","","1.4","2.7","","","","","","",""
"CSM","0000034","20240709|125124","20240708_1984904_062166_067986","R04_1_CAN_Winnipeg Challenger","Trotter","Schoolkate","|K|0.507578|EK|G||OL1|2.1087|EOL1|OL2|2.1726|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.746|164.714|AH-2.5|1000|1000|1.746|164.714|AH-2|1000|1000|1.929|182.011|AH-1.5|1000|1000|1.929|182.011||AH1.5|1000|1000|2.435|221.392|AH2|1000|1000|2.753|250.313|AH2.5|1000|1000|2.753|250.313|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33969|6|1.56447|6|EK-1.5||K21|6.70302|1|5.45592|6|EK21||K1.5|1.54|6|3.53451|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/trotter-james-kent-schoolkate-tristan-SSiPpTi3/#ah;2;1.50;2","1.5","1.78","2.07","1.74","1.96","","","","","1.78","2.07","","","","","","",""
"CSM","0000034","20240709|125121","20240708_1984904_062166_067986","R04_1_CAN_Winnipeg Challenger","Trotter","Schoolkate","|K|0.507578|EK|G||OL1|2.1087|EOL1|OL2|2.1726|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.746|164.714|AH-2.5|1000|1000|1.746|164.714|AH-2|1000|1000|1.929|182.011|AH-1.5|1000|1000|1.929|182.011||AH1.5|1000|1000|2.435|221.392|AH2|1000|1000|2.753|250.313|AH2.5|1000|1000|2.753|250.313|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33969|6|1.56447|6|EK-1.5||K21|6.70302|1|5.45592|6|EK21||K1.5|1.54|6|3.53451|6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/trotter-james-kent-schoolkate-tristan-SSiPpTi3/#ah;2;0.50;2","0.5","1.91","1.91","1.85","1.85","","","","","1.91","1.91","","","","","","",""
"CSM","0000034","20240709|125128","20240708_1984904_062166_067986","R04_1_CAN_Winnipeg Challenger","Trotter","Schoolkate","|K|0.507578|EK|G||OL1|2.1087|EOL1|OL2|2.1726|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.746|164.714|AH-2.5|1000|1000|1.746|164.714|AH-2|1000|1000|1.929|182.011|AH-1.5|1000|1000|1.929|182.011||AH1.5|1000|1000|2.435|221.392|AH2|1000|1000|2.753|250.313|AH2.5|1000|1000|2.753|250.313|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33969|6|1.56447|6|EK-1.5||K21|6.70302|1|5.45592|6|EK21||K1.5|1.54|6|3.53451|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/trotter-james-kent-schoolkate-tristan-SSiPpTi3/#ah;2;1.50;1","1.5","1.4","2.99","1.37","2.85","","","","","1.4","2.99","","","","","","",""
"CSM","0000034","20240709|125126","20240708_1984904_062166_067986","R04_1_CAN_Winnipeg Challenger","Trotter","Schoolkate","|K|0.507578|EK|G||OL1|2.1087|EOL1|OL2|2.1726|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.746|164.714|AH-2.5|1000|1000|1.746|164.714|AH-2|1000|1000|1.929|182.011|AH-1.5|1000|1000|1.929|182.011||AH1.5|1000|1000|2.435|221.392|AH2|1000|1000|2.753|250.313|AH2.5|1000|1000|2.753|250.313|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33969|6|1.56447|6|EK-1.5||K21|6.70302|1|5.45592|6|EK21||K1.5|1.54|6|3.53451|6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/trotter-james-kent-schoolkate-tristan-SSiPpTi3/#ah;2;-1.50;1","-1.5","3.24","1.35","3.1","1.32","","","","","3.24","1.35","","","","","","",""
"CSM","0000034","20240709|125112","20240708_1984904_062166_067986","R04_1_CAN_Winnipeg Challenger","Trotter","Schoolkate","|K|0.507578|EK|G||OL1|2.1087|EOL1|OL2|2.1726|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.1978|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-13.5|ENAVE2||ENA||AH-5.5|1000|1000|1000|1000|AH-5|1000|1000|1000|1000|AH-4|1000|1000|1000|1000|AH-3.5|1000|1000|1000|1000|AH-3|1000|1000|1.746|164.714|AH-2.5|1000|1000|1.746|164.714|AH-2|1000|1000|1.929|182.011|AH-1.5|1000|1000|1.929|182.011||AH1.5|1000|1000|2.435|221.392|AH2|1000|1000|2.753|250.313|AH2.5|1000|1000|2.753|250.313|AH3|1000|1000|1000|1000|AH3.5|1000|1000|1000|1000|AH4|1000|1000|1000|1000|AH4.5|1000|1000|1000|1000|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|3.33969|6|1.56447|6|EK-1.5||K21|6.70302|1|5.45592|6|EK21||K1.5|1.54|6|3.53451|6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/canada/winnipeg-challenger-men/trotter-james-kent-schoolkate-tristan-SSiPpTi3/","","1.98","1.84","1.91","1.79","","","","","1.98","1.84","","","","","","",""
"CSV","0000035","20240709|125145","20240708_1557505_027032_011372","R05_1_FRA_Grand Est Open 88 - Contrexeville","Bronzetti","Baindl","|K|0.723415|EK|G||OL1|1.48035|EOL1|OL2|3.7105|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.601|253.991|1.689|164.939|AH-5|2.601|253.991|1.984|193.732|AH-4|2.116|206.687|2.427|237.014|AH-3.5|1.771|172.985|2.427|237.014|AH-3|1.771|172.985|2.897|282.916|AH-2.5|1.584|154.67|2.897|282.916|AH-2|1.584|154.67|3.446|336.541|AH-1.5|1.457|142.276|3.446|336.541||AH1.5|1.37|131.38|4.367|418.676|AH2|1.37|131.38|5.017|481.009|AH2.5|1.317|126.246|5.017|481.009|AH3|1.317|126.246|6.192|593.629|AH3.5|1.254|120.258|6.192|593.629|AH4|1.254|120.258|9.404|901.602|AH4.5|1.173|112.475|9.404|901.602|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.38633|5.6|2.05228|5.6|EK-1.5||K21|5.20197|5.6|7.43887|5.6|EK21||K1.5|1.5|1|8.22266|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women/bronzetti-lucia-kozlova-kateryna-QNeA3sV9/#ah;2;-3.50;2","-3.5","1.65","2.28","1.6","2.2","","","","","1.65","2.28","","","","","","",""
"CSV","0000035","20240709|125142","20240708_1557505_027032_011372","R05_1_FRA_Grand Est Open 88 - Contrexeville","Bronzetti","Baindl","|K|0.723415|EK|G||OL1|1.48035|EOL1|OL2|3.7105|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.601|253.991|1.689|164.939|AH-5|2.601|253.991|1.984|193.732|AH-4|2.116|206.687|2.427|237.014|AH-3.5|1.771|172.985|2.427|237.014|AH-3|1.771|172.985|2.897|282.916|AH-2.5|1.584|154.67|2.897|282.916|AH-2|1.584|154.67|3.446|336.541|AH-1.5|1.457|142.276|3.446|336.541||AH1.5|1.37|131.38|4.367|418.676|AH2|1.37|131.38|5.017|481.009|AH2.5|1.317|126.246|5.017|481.009|AH3|1.317|126.246|6.192|593.629|AH3.5|1.254|120.258|6.192|593.629|AH4|1.254|120.258|9.404|901.602|AH4.5|1.173|112.475|9.404|901.602|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.38633|5.6|2.05228|5.6|EK-1.5||K21|5.20197|5.6|7.43887|5.6|EK21||K1.5|1.5|1|8.22266|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women/bronzetti-lucia-kozlova-kateryna-QNeA3sV9/#ah;2;-4.50;2","-4.5","1.93","1.89","1.88","1.82","","","","","1.93","1.89","","","","","","",""
"CSV","0000035","20240709|125149","20240708_1557505_027032_011372","R05_1_FRA_Grand Est Open 88 - Contrexeville","Bronzetti","Baindl","|K|0.723415|EK|G||OL1|1.48035|EOL1|OL2|3.7105|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.601|253.991|1.689|164.939|AH-5|2.601|253.991|1.984|193.732|AH-4|2.116|206.687|2.427|237.014|AH-3.5|1.771|172.985|2.427|237.014|AH-3|1.771|172.985|2.897|282.916|AH-2.5|1.584|154.67|2.897|282.916|AH-2|1.584|154.67|3.446|336.541|AH-1.5|1.457|142.276|3.446|336.541||AH1.5|1.37|131.38|4.367|418.676|AH2|1.37|131.38|5.017|481.009|AH2.5|1.317|126.246|5.017|481.009|AH3|1.317|126.246|6.192|593.629|AH3.5|1.254|120.258|6.192|593.629|AH4|1.254|120.258|9.404|901.602|AH4.5|1.173|112.475|9.404|901.602|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.38633|5.6|2.05228|5.6|EK-1.5||K21|5.20197|5.6|7.43887|5.6|EK21||K1.5|1.5|1|8.22266|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women/bronzetti-lucia-kozlova-kateryna-QNeA3sV9/#ah;2;1.50;1","1.5","1.13","6.17","1.12","5.35","","","","","1.13","6.17","","","","","","",""
"CSV","0000035","20240709|125147","20240708_1557505_027032_011372","R05_1_FRA_Grand Est Open 88 - Contrexeville","Bronzetti","Baindl","|K|0.723415|EK|G||OL1|1.48035|EOL1|OL2|3.7105|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.601|253.991|1.689|164.939|AH-5|2.601|253.991|1.984|193.732|AH-4|2.116|206.687|2.427|237.014|AH-3.5|1.771|172.985|2.427|237.014|AH-3|1.771|172.985|2.897|282.916|AH-2.5|1.584|154.67|2.897|282.916|AH-2|1.584|154.67|3.446|336.541|AH-1.5|1.457|142.276|3.446|336.541||AH1.5|1.37|131.38|4.367|418.676|AH2|1.37|131.38|5.017|481.009|AH2.5|1.317|126.246|5.017|481.009|AH3|1.317|126.246|6.192|593.629|AH3.5|1.254|120.258|6.192|593.629|AH4|1.254|120.258|9.404|901.602|AH4.5|1.173|112.475|9.404|901.602|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.38633|5.6|2.05228|5.6|EK-1.5||K21|5.20197|5.6|7.43887|5.6|EK21||K1.5|1.5|1|8.22266|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women/bronzetti-lucia-kozlova-kateryna-QNeA3sV9/#ah;2;-1.50;1","-1.5","1.88","1.93","1.84","1.86","","","","","1.88","1.93","","","","","","",""
"CSV","0000035","20240709|125133","20240708_1557505_027032_011372","R05_1_FRA_Grand Est Open 88 - Contrexeville","Bronzetti","Baindl","|K|0.723415|EK|G||OL1|1.48035|EOL1|OL2|3.7105|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.601|253.991|1.689|164.939|AH-5|2.601|253.991|1.984|193.732|AH-4|2.116|206.687|2.427|237.014|AH-3.5|1.771|172.985|2.427|237.014|AH-3|1.771|172.985|2.897|282.916|AH-2.5|1.584|154.67|2.897|282.916|AH-2|1.584|154.67|3.446|336.541|AH-1.5|1.457|142.276|3.446|336.541||AH1.5|1.37|131.38|4.367|418.676|AH2|1.37|131.38|5.017|481.009|AH2.5|1.317|126.246|5.017|481.009|AH3|1.317|126.246|6.192|593.629|AH3.5|1.254|120.258|6.192|593.629|AH4|1.254|120.258|9.404|901.602|AH4.5|1.173|112.475|9.404|901.602|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|2.38633|5.6|2.05228|5.6|EK-1.5||K21|5.20197|5.6|7.43887|5.6|EK21||K1.5|1.5|1|8.22266|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women/bronzetti-lucia-kozlova-kateryna-QNeA3sV9/","","1.34","3.33","1.31","3.15","","","","","1.36","3.33","","","","","","",""
"CSV","0000036","20240709|125205","20240708_1559404_011205_079059","R04_1_POR_W50 Corroios-Seixal","Abduraimova","Ishii","|K|0.429089|EK|G||OL1|2.3985|EOL1|OL2|1.8744|EOL2|OH1|3.1122|EOH1|OH2|2.464|EOH2|EG|NA|NOT|ENA||AH-5.5|5.226|510.306|1.274|124.372|AH-5|5.226|510.306|1.398|136.537|AH-4|3.827|373.698|1.542|150.612|AH-3.5|3.047|297.582|1.542|150.612|AH-3|3.047|297.582|1.692|165.207|AH-2.5|2.594|253.357|1.692|165.207|AH-2|2.594|253.357|1.812|176.994|AH-1.5|2.354|229.88|1.812|176.994||AH1.5|2.09|200.413|2.082|199.589|AH2|2.09|200.413|2.185|209.445|AH2.5|1.996|191.37|2.185|209.445|AH3|1.996|191.37|2.196|210.548|AH3.5|1.986|190.459|2.196|210.548|AH4|1.986|190.459|2.667|255.714|AH4.5|1.713|164.22|2.667|255.714|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.07139|5.6|1.5|5.6|EK-1.5||K21|6.56033|5.6|6.88958|5.6|EK21||K1.5|1.66643|5.6|3.10876|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/abduraimova-nigina-ishii-sayaka-Kl9GaXjB/#ah;2;4.50;2","4.5","1.7","2.07","1.66","2.08","","","","","1.7","2.08","","","","","","",""
"CSV","0000036","20240709|125202","20240708_1559404_011205_079059","R04_1_POR_W50 Corroios-Seixal","Abduraimova","Ishii","|K|0.429089|EK|G||OL1|2.3985|EOL1|OL2|1.8744|EOL2|OH1|3.1122|EOH1|OH2|2.464|EOH2|EG|NA|NOT|ENA||AH-5.5|5.226|510.306|1.274|124.372|AH-5|5.226|510.306|1.398|136.537|AH-4|3.827|373.698|1.542|150.612|AH-3.5|3.047|297.582|1.542|150.612|AH-3|3.047|297.582|1.692|165.207|AH-2.5|2.594|253.357|1.692|165.207|AH-2|2.594|253.357|1.812|176.994|AH-1.5|2.354|229.88|1.812|176.994||AH1.5|2.09|200.413|2.082|199.589|AH2|2.09|200.413|2.185|209.445|AH2.5|1.996|191.37|2.185|209.445|AH3|1.996|191.37|2.196|210.548|AH3.5|1.986|190.459|2.196|210.548|AH4|1.986|190.459|2.667|255.714|AH4.5|1.713|164.22|2.667|255.714|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.07139|5.6|1.5|5.6|EK-1.5||K21|6.56033|5.6|6.88958|5.6|EK21||K1.5|1.66643|5.6|3.10876|5.6|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/abduraimova-nigina-ishii-sayaka-Kl9GaXjB/#ah;2;3.50;2","3.5","2.0","1.76","1.95","1.75","","","","","2.0","1.76","","","","","","",""
"CSV","0000036","20240709|125209","20240708_1559404_011205_079059","R04_1_POR_W50 Corroios-Seixal","Abduraimova","Ishii","|K|0.429089|EK|G||OL1|2.3985|EOL1|OL2|1.8744|EOL2|OH1|3.1122|EOH1|OH2|2.464|EOH2|EG|NA|NOT|ENA||AH-5.5|5.226|510.306|1.274|124.372|AH-5|5.226|510.306|1.398|136.537|AH-4|3.827|373.698|1.542|150.612|AH-3.5|3.047|297.582|1.542|150.612|AH-3|3.047|297.582|1.692|165.207|AH-2.5|2.594|253.357|1.692|165.207|AH-2|2.594|253.357|1.812|176.994|AH-1.5|2.354|229.88|1.812|176.994||AH1.5|2.09|200.413|2.082|199.589|AH2|2.09|200.413|2.185|209.445|AH2.5|1.996|191.37|2.185|209.445|AH3|1.996|191.37|2.196|210.548|AH3.5|1.986|190.459|2.196|210.548|AH4|1.986|190.459|2.667|255.714|AH4.5|1.713|164.22|2.667|255.714|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.07139|5.6|1.5|5.6|EK-1.5||K21|6.56033|5.6|6.88958|5.6|EK21||K1.5|1.66643|5.6|3.10876|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/abduraimova-nigina-ishii-sayaka-Kl9GaXjB/#ah;2;1.50;1","1.5","1.74","2.03","1.72","2.0","","","","","1.74","2.03","","","","","","",""
"CSV","0000036","20240709|125207","20240708_1559404_011205_079059","R04_1_POR_W50 Corroios-Seixal","Abduraimova","Ishii","|K|0.429089|EK|G||OL1|2.3985|EOL1|OL2|1.8744|EOL2|OH1|3.1122|EOH1|OH2|2.464|EOH2|EG|NA|NOT|ENA||AH-5.5|5.226|510.306|1.274|124.372|AH-5|5.226|510.306|1.398|136.537|AH-4|3.827|373.698|1.542|150.612|AH-3.5|3.047|297.582|1.542|150.612|AH-3|3.047|297.582|1.692|165.207|AH-2.5|2.594|253.357|1.692|165.207|AH-2|2.594|253.357|1.812|176.994|AH-1.5|2.354|229.88|1.812|176.994||AH1.5|2.09|200.413|2.082|199.589|AH2|2.09|200.413|2.185|209.445|AH2.5|1.996|191.37|2.185|209.445|AH3|1.996|191.37|2.196|210.548|AH3.5|1.986|190.459|2.196|210.548|AH4|1.986|190.459|2.667|255.714|AH4.5|1.713|164.22|2.667|255.714|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.07139|5.6|1.5|5.6|EK-1.5||K21|6.56033|5.6|6.88958|5.6|EK21||K1.5|1.66643|5.6|3.10876|5.6|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/abduraimova-nigina-ishii-sayaka-Kl9GaXjB/#ah;2;-1.50;1","-1.5","4.55","1.18","4.42","1.17","","","","","4.55","1.18","","","","","","",""
"CSV","0000036","20240709|125154","20240708_1559404_011205_079059","R04_1_POR_W50 Corroios-Seixal","Abduraimova","Ishii","|K|0.429089|EK|G||OL1|2.3985|EOL1|OL2|1.8744|EOL2|OH1|3.1122|EOH1|OH2|2.464|EOH2|EG|NA|NOT|ENA||AH-5.5|5.226|510.306|1.274|124.372|AH-5|5.226|510.306|1.398|136.537|AH-4|3.827|373.698|1.542|150.612|AH-3.5|3.047|297.582|1.542|150.612|AH-3|3.047|297.582|1.692|165.207|AH-2.5|2.594|253.357|1.692|165.207|AH-2|2.594|253.357|1.812|176.994|AH-1.5|2.354|229.88|1.812|176.994||AH1.5|2.09|200.413|2.082|199.589|AH2|2.09|200.413|2.185|209.445|AH2.5|1.996|191.37|2.185|209.445|AH3|1.996|191.37|2.196|210.548|AH3.5|1.986|190.459|2.196|210.548|AH4|1.986|190.459|2.667|255.714|AH4.5|1.713|164.22|2.667|255.714|AH5|1000|1000|1000|1000|AH5.5|1000|1000|1000|1000||EAH||AHS||K-1.5|4.07139|5.6|1.5|5.6|EK-1.5||K21|6.56033|5.6|6.88958|5.6|EK21||K1.5|1.66643|5.6|3.10876|5.6|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/portugal/itf-w50-corroios-seixal-women/abduraimova-nigina-ishii-sayaka-Kl9GaXjB/","","2.77","1.41","2.59","1.44","","","","","2.77","1.44","","","","","","",""
