"CDM","0000001","20240201|155200","20240129_1943710_043022_106097","R10_1_Burnie 1 Challenger (AUS)","Bolt/Saville","Bayldon/Pearson","|K|0.683233|EK|G||OL1|1.48014|EOL1|OL2|3.21372|EOL2|OH1|2.205|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.62141|ENAOL1|NAOL2|3.42228|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/burnie-challenger-men-doubles/bolt-alex-saville-luke-bayldon-blake-pearson-kody-AJcFEB3D/","","","","","","","","1.36","2.95","","","","","","",""
"CSV","0000004","20240201|155222","20240129_1529009_045536_014882","R09_1_W50 Indore (IND)","Monnet","Radanovic","|K|0.499958|EK|G||OL1|2.07633|EOL1|OL2|2.066|EOL2|OH1|201|EOH1|OH2|200|EOH2|EG|NA|NOT|ENA||AH-5.5|4.253|413.294|1.357|131.919|AH-5|4.253|413.294|1.591|154.633|AH-4|2.912|283.041|1.842|179.054|AH-3.5|2.331|226.496|1.842|179.054|AH-3|2.331|226.496|1.908|185.381|AH-2.5|2.234|217.122|1.908|185.381|AH-2|2.234|217.122|1.956|190.101|AH-1.5|2.171|210.987|1.956|190.101||AH1.5|1.948|186.035|2.264|216.232|AH2|1.948|186.035|2.496|238.411|AH2.5|1.803|172.249|2.496|238.411|AH3|1.803|172.249|2.756|263.252|AH3.5|1.688|161.255|2.756|263.252|AH4|1.688|161.255|3.406|325.342|AH4.5|1.512|144.377|3.406|325.342|AH5|1.512|144.377|4.263|407.156|AH5.5|1.388|132.557|4.263|407.156||EAH||AHS||K-1.5|3.42452|10|2.1|1|EK-1.5||K21|6.1399|10|7.50418|10|EK21||K1.5|2.1|1|3.3108|10|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/india/itf-w50-indore-women/monnet-carole-radanovic-dejana-pll7EsG5/","","2.09","1.7","","","","","2.09","1.7","","","","","","",""
"CSV","0000005","20240201|155243","20240129_1528709_077513_045852","R09_1_W75 Burnie (AUS)","Saito","Naito","|K|0.806962|EK|G||OL1|1.33424|EOL1|OL2|5.36127|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.406|233.784|1.798|174.748|AH-5|2.406|233.784|2.213|215.097|AH-4|1.923|186.884|2.921|283.859|AH-3.5|1.589|154.39|2.921|283.859|AH-3|1.589|154.39|3.4|330.413|AH-2.5|1.476|143.4|3.4|330.413|AH-2|1.476|143.4|3.846|373.75|AH-1.5|1.405|136.53|3.846|373.75||AH1.5|1.272|121.522|5.912|564.644|AH2|1.272|121.522|6.685|638.476|AH2.5|1.241|118.571|6.685|638.476|AH3|1.241|118.571|7.435|710.087|AH3.5|1.219|116.391|7.435|710.087|AH4|1.219|116.391|8.511|812.922|AH4.5|1.194|114.027|8.511|812.922|AH5|1.194|114.027|12.542|1197.86|AH5.5|1.142|109.109|12.542|1197.86||EAH||AHS||K-1.5|2.25456|10|2.1|10|EK-1.5||K21|4.72694|10|9.36227|1|EK21||K1.5|2.1|1|7.73725|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/saito-sara-naito-yuki-U3YM4cTc/#ah;2;-4.50;2","-4.5","1.79","1.97","","","","","1.79","1.97","","","","","","",""
"CSV","0000005","20240201|155244","20240129_1528709_077513_045852","R09_1_W75 Burnie (AUS)","Saito","Naito","|K|0.806962|EK|G||OL1|1.33424|EOL1|OL2|5.36127|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.406|233.784|1.798|174.748|AH-5|2.406|233.784|2.213|215.097|AH-4|1.923|186.884|2.921|283.859|AH-3.5|1.589|154.39|2.921|283.859|AH-3|1.589|154.39|3.4|330.413|AH-2.5|1.476|143.4|3.4|330.413|AH-2|1.476|143.4|3.846|373.75|AH-1.5|1.405|136.53|3.846|373.75||AH1.5|1.272|121.522|5.912|564.644|AH2|1.272|121.522|6.685|638.476|AH2.5|1.241|118.571|6.685|638.476|AH3|1.241|118.571|7.435|710.087|AH3.5|1.219|116.391|7.435|710.087|AH4|1.219|116.391|8.511|812.922|AH4.5|1.194|114.027|8.511|812.922|AH5|1.194|114.027|12.542|1197.86|AH5.5|1.142|109.109|12.542|1197.86||EAH||AHS||K-1.5|2.25456|10|2.1|10|EK-1.5||K21|4.72694|10|9.36227|1|EK21||K1.5|2.1|1|7.73725|1|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/saito-sara-naito-yuki-U3YM4cTc/#ah;2;-5.00;2","-5.0","1.98","1.78","","","","","1.98","1.78","","","","","","",""
"CSV","0000005","20240201|155248","20240129_1528709_077513_045852","R09_1_W75 Burnie (AUS)","Saito","Naito","|K|0.806962|EK|G||OL1|1.33424|EOL1|OL2|5.36127|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.406|233.784|1.798|174.748|AH-5|2.406|233.784|2.213|215.097|AH-4|1.923|186.884|2.921|283.859|AH-3.5|1.589|154.39|2.921|283.859|AH-3|1.589|154.39|3.4|330.413|AH-2.5|1.476|143.4|3.4|330.413|AH-2|1.476|143.4|3.846|373.75|AH-1.5|1.405|136.53|3.846|373.75||AH1.5|1.272|121.522|5.912|564.644|AH2|1.272|121.522|6.685|638.476|AH2.5|1.241|118.571|6.685|638.476|AH3|1.241|118.571|7.435|710.087|AH3.5|1.219|116.391|7.435|710.087|AH4|1.219|116.391|8.511|812.922|AH4.5|1.194|114.027|8.511|812.922|AH5|1.194|114.027|12.542|1197.86|AH5.5|1.142|109.109|12.542|1197.86||EAH||AHS||K-1.5|2.25456|10|2.1|10|EK-1.5||K21|4.72694|10|9.36227|1|EK21||K1.5|2.1|1|7.73725|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/saito-sara-naito-yuki-U3YM4cTc/#ah;2;1.50;1","1.5","1.11","6.15","","","","","1.11","6.15","","","","","","",""
"CSV","0000005","20240201|155246","20240129_1528709_077513_045852","R09_1_W75 Burnie (AUS)","Saito","Naito","|K|0.806962|EK|G||OL1|1.33424|EOL1|OL2|5.36127|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.406|233.784|1.798|174.748|AH-5|2.406|233.784|2.213|215.097|AH-4|1.923|186.884|2.921|283.859|AH-3.5|1.589|154.39|2.921|283.859|AH-3|1.589|154.39|3.4|330.413|AH-2.5|1.476|143.4|3.4|330.413|AH-2|1.476|143.4|3.846|373.75|AH-1.5|1.405|136.53|3.846|373.75||AH1.5|1.272|121.522|5.912|564.644|AH2|1.272|121.522|6.685|638.476|AH2.5|1.241|118.571|6.685|638.476|AH3|1.241|118.571|7.435|710.087|AH3.5|1.219|116.391|7.435|710.087|AH4|1.219|116.391|8.511|812.922|AH4.5|1.194|114.027|8.511|812.922|AH5|1.194|114.027|12.542|1197.86|AH5.5|1.142|109.109|12.542|1197.86||EAH||AHS||K-1.5|2.25456|10|2.1|10|EK-1.5||K21|4.72694|10|9.36227|1|EK21||K1.5|2.1|1|7.73725|1|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/saito-sara-naito-yuki-U3YM4cTc/#ah;2;-1.50;1","-1.5","1.76","2.0","","","","","1.76","2.0","","","","","","",""
"CSV","0000005","20240201|155236","20240129_1528709_077513_045852","R09_1_W75 Burnie (AUS)","Saito","Naito","|K|0.806962|EK|G||OL1|1.33424|EOL1|OL2|5.36127|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA||AH-5.5|2.406|233.784|1.798|174.748|AH-5|2.406|233.784|2.213|215.097|AH-4|1.923|186.884|2.921|283.859|AH-3.5|1.589|154.39|2.921|283.859|AH-3|1.589|154.39|3.4|330.413|AH-2.5|1.476|143.4|3.4|330.413|AH-2|1.476|143.4|3.846|373.75|AH-1.5|1.405|136.53|3.846|373.75||AH1.5|1.272|121.522|5.912|564.644|AH2|1.272|121.522|6.685|638.476|AH2.5|1.241|118.571|6.685|638.476|AH3|1.241|118.571|7.435|710.087|AH3.5|1.219|116.391|7.435|710.087|AH4|1.219|116.391|8.511|812.922|AH4.5|1.194|114.027|8.511|812.922|AH5|1.194|114.027|12.542|1197.86|AH5.5|1.142|109.109|12.542|1197.86||EAH||AHS||K-1.5|2.25456|10|2.1|10|EK-1.5||K21|4.72694|10|9.36227|1|EK21||K1.5|2.1|1|7.73725|1|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/saito-sara-naito-yuki-U3YM4cTc/","","1.28","3.5","","","","","1.28","3.5","","","","","","",""
"CSV","0000006","20240201|155259","20240129_1528709_049995_016627","R09_1_W75 Burnie (AUS)","Sawangkaew","Hon","|K|0.580981|EK|G||OL1|1.86148|EOL1|OL2|2.46887|EOL2|OH1|173|EOH1|OH2|239|EOH2|EG|NA|NOT|ENA||AH-5.5|4.026|391.287|1.382|134.33|AH-5|4.026|391.287|1.54|149.627|AH-4|3.102|301.504|1.668|162.078|AH-3.5|2.687|261.088|1.668|162.078|AH-3|2.687|261.088|1.786|173.597|AH-2.5|2.427|235.876|1.786|173.597|AH-2|2.427|235.876|2.012|195.507|AH-1.5|2.106|204.704|2.012|195.507||AH1.5|1.857|177.321|2.401|229.331|AH2|1.857|177.321|2.401|229.358|AH2.5|1.856|177.305|2.401|229.358|AH3|1.856|177.305|2.612|249.443|AH3.5|1.748|166.915|2.612|249.443|AH4|1.748|166.915|3.283|313.599|AH4.5|1.537|146.817|3.283|313.599|AH5|1.537|146.817|5.361|512.058|AH5.5|1.301|124.268|5.361|512.058||EAH||AHS||K-1.5|3.0153|10|2.1|1|EK-1.5||K21|6.21434|10|6.55673|10|EK21||K1.5|2.1|1|4.06728|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/sawangkaew-mananchaya-hon-priscilla-8n1g6PMh/#ah;2;2.50;2","2.5","1.73","2.05","","","","","1.73","2.05","","","","","","",""
"CSV","0000006","20240201|155301","20240129_1528709_049995_016627","R09_1_W75 Burnie (AUS)","Sawangkaew","Hon","|K|0.580981|EK|G||OL1|1.86148|EOL1|OL2|2.46887|EOL2|OH1|173|EOH1|OH2|239|EOH2|EG|NA|NOT|ENA||AH-5.5|4.026|391.287|1.382|134.33|AH-5|4.026|391.287|1.54|149.627|AH-4|3.102|301.504|1.668|162.078|AH-3.5|2.687|261.088|1.668|162.078|AH-3|2.687|261.088|1.786|173.597|AH-2.5|2.427|235.876|1.786|173.597|AH-2|2.427|235.876|2.012|195.507|AH-1.5|2.106|204.704|2.012|195.507||AH1.5|1.857|177.321|2.401|229.331|AH2|1.857|177.321|2.401|229.358|AH2.5|1.856|177.305|2.401|229.358|AH3|1.856|177.305|2.612|249.443|AH3.5|1.748|166.915|2.612|249.443|AH4|1.748|166.915|3.283|313.599|AH4.5|1.537|146.817|3.283|313.599|AH5|1.537|146.817|5.361|512.058|AH5.5|1.301|124.268|5.361|512.058||EAH||AHS||K-1.5|3.0153|10|2.1|1|EK-1.5||K21|6.21434|10|6.55673|10|EK21||K1.5|2.1|1|4.06728|10|EK1.5||EAHS|","AHG","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/sawangkaew-mananchaya-hon-priscilla-8n1g6PMh/#ah;2;1.50;2","1.5","1.77","2.0","","","","","1.77","2.0","","","","","","",""
"CSV","0000006","20240201|155304","20240129_1528709_049995_016627","R09_1_W75 Burnie (AUS)","Sawangkaew","Hon","|K|0.580981|EK|G||OL1|1.86148|EOL1|OL2|2.46887|EOL2|OH1|173|EOH1|OH2|239|EOH2|EG|NA|NOT|ENA||AH-5.5|4.026|391.287|1.382|134.33|AH-5|4.026|391.287|1.54|149.627|AH-4|3.102|301.504|1.668|162.078|AH-3.5|2.687|261.088|1.668|162.078|AH-3|2.687|261.088|1.786|173.597|AH-2.5|2.427|235.876|1.786|173.597|AH-2|2.427|235.876|2.012|195.507|AH-1.5|2.106|204.704|2.012|195.507||AH1.5|1.857|177.321|2.401|229.331|AH2|1.857|177.321|2.401|229.358|AH2.5|1.856|177.305|2.401|229.358|AH3|1.856|177.305|2.612|249.443|AH3.5|1.748|166.915|2.612|249.443|AH4|1.748|166.915|3.283|313.599|AH4.5|1.537|146.817|3.283|313.599|AH5|1.537|146.817|5.361|512.058|AH5.5|1.301|124.268|5.361|512.058||EAH||AHS||K-1.5|3.0153|10|2.1|1|EK-1.5||K21|6.21434|10|6.55673|10|EK21||K1.5|2.1|1|4.06728|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/sawangkaew-mananchaya-hon-priscilla-8n1g6PMh/#ah;2;1.50;1","1.5","1.4","2.86","","","","","1.4","2.86","","","","","","",""
"CSV","0000006","20240201|155302","20240129_1528709_049995_016627","R09_1_W75 Burnie (AUS)","Sawangkaew","Hon","|K|0.580981|EK|G||OL1|1.86148|EOL1|OL2|2.46887|EOL2|OH1|173|EOH1|OH2|239|EOH2|EG|NA|NOT|ENA||AH-5.5|4.026|391.287|1.382|134.33|AH-5|4.026|391.287|1.54|149.627|AH-4|3.102|301.504|1.668|162.078|AH-3.5|2.687|261.088|1.668|162.078|AH-3|2.687|261.088|1.786|173.597|AH-2.5|2.427|235.876|1.786|173.597|AH-2|2.427|235.876|2.012|195.507|AH-1.5|2.106|204.704|2.012|195.507||AH1.5|1.857|177.321|2.401|229.331|AH2|1.857|177.321|2.401|229.358|AH2.5|1.856|177.305|2.401|229.358|AH3|1.856|177.305|2.612|249.443|AH3.5|1.748|166.915|2.612|249.443|AH4|1.748|166.915|3.283|313.599|AH4.5|1.537|146.817|3.283|313.599|AH5|1.537|146.817|5.361|512.058|AH5.5|1.301|124.268|5.361|512.058||EAH||AHS||K-1.5|3.0153|10|2.1|1|EK-1.5||K21|6.21434|10|6.55673|10|EK21||K1.5|2.1|1|4.06728|10|EK1.5||EAHS|","AHS","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/sawangkaew-mananchaya-hon-priscilla-8n1g6PMh/#ah;2;-1.50;1","-1.5","3.04","1.36","","","","","3.04","1.36","","","","","","",""
"CSV","0000006","20240201|155251","20240129_1528709_049995_016627","R09_1_W75 Burnie (AUS)","Sawangkaew","Hon","|K|0.580981|EK|G||OL1|1.86148|EOL1|OL2|2.46887|EOL2|OH1|173|EOH1|OH2|239|EOH2|EG|NA|NOT|ENA||AH-5.5|4.026|391.287|1.382|134.33|AH-5|4.026|391.287|1.54|149.627|AH-4|3.102|301.504|1.668|162.078|AH-3.5|2.687|261.088|1.668|162.078|AH-3|2.687|261.088|1.786|173.597|AH-2.5|2.427|235.876|1.786|173.597|AH-2|2.427|235.876|2.012|195.507|AH-1.5|2.106|204.704|2.012|195.507||AH1.5|1.857|177.321|2.401|229.331|AH2|1.857|177.321|2.401|229.358|AH2.5|1.856|177.305|2.401|229.358|AH3|1.856|177.305|2.612|249.443|AH3.5|1.748|166.915|2.612|249.443|AH4|1.748|166.915|3.283|313.599|AH4.5|1.537|146.817|3.283|313.599|AH5|1.537|146.817|5.361|512.058|AH5.5|1.301|124.268|5.361|512.058||EAH||AHS||K-1.5|3.0153|10|2.1|1|EK-1.5||K21|6.21434|10|6.55673|10|EK21||K1.5|2.1|1|4.06728|10|EK1.5||EAHS|","GEW","https://www.oddsportal.com/tennis/australia/itf-w75-burnie-women/sawangkaew-mananchaya-hon-priscilla-8n1g6PMh/","","1.91","1.85","","","","","1.91","1.85","","","","","","",""
